Year,Cyclonic Disturbances - TOTAL,d=x-u,d^2,,,,,mean,12.31007752,12.31007752,sum of d^2,sum/n,sqrt,mean of sample 100
1984,7,-5.310077519,28.19692326,,,,,,,12.31007752,,,,
1985,15,2.689922481,7.235682952,,,,,,,12.31007752,,,,
1986,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
1987,9,-3.310077519,10.95661318,,,,,,,12.31007752,,,,
1988,9,-3.310077519,10.95661318,,,,,,,12.31007752,,,,
1989,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
1990,11,-1.310077519,1.716303107,,,,,,,12.31007752,,,,
1991,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
1992,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
1993,5,-7.310077519,53.43723334,,,,,,,12.31007752,,,,
1994,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
1995,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
1996,9,-3.310077519,10.95661318,,,,,,,12.31007752,,,,
1997,9,-3.310077519,10.95661318,,,,,,,12.31007752,,,,
1998,13,0.689922481,0.475993029,,,,,,,12.31007752,,,,
1999,9,-3.310077519,10.95661318,,,,,,,12.31007752,,,,
2000,7,-5.310077519,28.19692326,,,,,,,12.31007752,,,,
2001,6,-6.310077519,39.8170783,,,,,,,12.31007752,,,,
2002,6,-6.310077519,39.8170783,,,,,,,12.31007752,,,,
2003,7,-5.310077519,28.19692326,,,,,,,12.31007752,,,,
2004,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
2005,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
2006,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
2007,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
2008,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
2009,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
2010,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
2011,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
2012,5,-7.310077519,53.43723334,,,,,,,12.31007752,,,,
2013,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
2014,8,-4.310077519,18.57676822,,,,,,,12.31007752,,,,
2015,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
2016,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
2017,10,-2.310077519,5.336458146,,,,,,,12.31007752,,,,
2018,14,1.689922481,2.855837991,,,,,,,12.31007752,,,,
2019,12,-0.310077519,0.096148068,,,,,,,12.31007752,,,,
